ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,PS92_1A,PS92_1M,PS92_1S,PS1,HVIDX
2024,      330901501,3309,15,1,5,0,2,1,3
2024,      335108101,3351,81,1,1,11,2,1,3
2024,      335306101,3353,61,1,0,6,2,1,3
2024,      352407801,3524,78,1,3,0,2,1,4
2024,      369002401,3690,24,1,6,5,2,1,1
2024,      377817101,3778,171,1,3,0,2,1,6
2024,      381303401,3813,34,1,0,10,2,1,5
2024,      388004001,3880,40,1,3,9,2,1,3
2024,      388008101,3880,81,1,3,9,2,1,2
2024,      392208701,3922,87,1,1,7,2,1,3
2024,      404205001,4042,50,1,2,0,2,1,3
2024,      415808901,4158,89,1,3,10,2,1,3
2024,      415810301,4158,103,1,2,4,2,1,3
2024,      438706701,4387,67,1,5,0,2,1,3
2024,      439807401,4398,74,1,0,1,2,1,4
2024,      448400301,4484,3,1,2,0,2,1,1
2024,      454013501,4540,135,1,3,0,2,1,6
2024,      458914501,4589,145,1,2,0,2,1,1
2024,      465703201,4657,32,1,3,3,2,1,5
2024,      483806901,4838,69,1,1,0,2,1,2
2024,      503102201,5031,22,1,3,0,2,1,5
2024,      505903001,5059,30,1,0,3,2,1,6
2024,      517300901,5173,9,1,0,1,2,1,3
2024,      518118202,5181,182,2,2,3,2,1,2
2024,      518313001,5183,130,1,0,8,2,1,7
2024,      520512101,5205,121,1,0,1,2,1,3
2024,      521407801,5214,78,1,0,4,2,1,3
2024,      536802401,5368,24,1,1,10,2,1,3
2024,      538900701,5389,7,1,1,4,2,1,4
2024,      539811801,5398,118,1,1,4,2,1,4
2024,      555707301,5557,73,1,0,10,2,1,4
2024,      565500101,5655,1,1,3,4,2,1,3
2024,      565600701,5656,7,1,4,3,2,1,3
2024,      570707401,5707,74,1,1,5,2,1,1
2024,      574701001,5747,10,1,2,6,2,1,3
2024,      581304001,5813,40,1,0,1,2,1,3
2024,      585609701,5856,97,1,2,0,2,1,3
2024,      599413501,5994,135,1,2,0,2,1,5
2024,      600501101,6005,11,1,5,0,2,1,3
2024,      601307001,6013,70,1,2,0,2,1,2
2024,      605808001,6058,80,1,2,11,2,1,5
2024,      609207001,6092,70,1,3,9,2,1,3
2024,      613007601,6130,76,1,0,2,2,1,2
2024,      618510801,6185,108,1,0,9,2,1,4
2024,      621200801,6212,8,1,0,3,2,1,3
2024,      628701201,6287,12,1,3,0,2,1,3
2024,      632908401,6329,84,1,3,10,2,1,1
2024,      636703401,6367,34,1,0,1,2,1,2
