ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,PS104_1A,PS104_1M,PS104_1S,PS5,HVIDX
2024,      325909101,3259,91,1,3,5,2,1,1
2024,      326101001,3261,10,1,10,0,2,1,1
2024,      326706901,3267,69,1,0,4,2,1,3
2024,      326902001,3269,20,1,11,5,2,1,2
2024,      326904101,3269,41,1,3,3,2,1,2
2024,      327004301,3270,43,1,8,2,2,1,1
2024,      328712401,3287,124,1,1,3,1,1,1
2024,      328712401,3287,124,1,6,3,2,2,2
2024,      329103901,3291,39,1,1,0,2,1,2
2024,      329911401,3299,114,1,15,0,2,1,2
2024,      329914401,3299,144,1,0,4,2,1,1
2024,      330002201,3300,22,1,3,5,2,1,1
2024,      330002701,3300,27,1,3,0,2,1,2
2024,      330004901,3300,49,1,2,0,2,1,2
2024,      330010401,3300,104,1,1,5,2,1,1
2024,      330107801,3301,78,1,2,3,2,1,2
2024,      330316601,3303,166,1,5,0,2,1,5
2024,      330316701,3303,167,1,0,5,2,1,2
2024,      330317301,3303,173,1,6,0,2,1,1
2024,      330404201,3304,42,1,0,5,2,1,1
2024,      330409601,3304,96,1,2,0,2,1,2
2024,      330603801,3306,38,1,6,98,2,1,2
2024,      330603901,3306,39,1,7,0,2,1,2
2024,      330605001,3306,50,1,3,3,2,1,2
2024,      330605701,3306,57,1,10,98,2,1,1
2024,      330901501,3309,15,1,0,3,2,1,2
2024,      333011601,3330,116,1,1,4,2,1,4
2024,      333108201,3331,82,1,1,2,1,1,1
2024,      333108201,3331,82,1,1,2,2,2,2
2024,      333108401,3331,84,1,19,2,1,1,1
2024,      333108401,3331,84,1,19,2,2,2,2
2024,      333108501,3331,85,1,4,3,1,1,1
2024,      333108501,3331,85,1,0,3,2,2,2
2024,      333108601,3331,86,1,19,2,1,1,1
2024,      333108601,3331,86,1,19,2,2,2,2
2024,      334102401,3341,24,1,1,0,2,1,2
2024,      334300301,3343,3,1,2,5,2,1,1
2024,      334304001,3343,40,1,1,4,2,1,2
2024,      334304601,3343,46,1,3,0,2,1,2
2024,      334306601,3343,66,1,2,0,2,1,2
2024,      334308601,3343,86,1,2,0,2,1,2
2024,      334500101,3345,1,1,8,0,2,1,1
2024,      334500601,3345,6,1,15,0,2,1,2
2024,      334500701,3345,7,1,10,0,2,1,2
2024,      334501801,3345,18,1,2,0,2,1,2
2024,      334502101,3345,21,1,1,0,2,1,1
2024,      334503101,3345,31,1,2,0,2,1,2
2024,      334503301,3345,33,1,1,0,2,1,1
2024,      334504401,3345,44,1,2,0,2,1,2
2024,      334505801,3345,58,1,10,0,2,1,1
2024,      334506101,3345,61,1,5,0,2,1,1
2024,      334507601,3345,76,1,8,0,2,1,2
2024,      334509201,3345,92,1,98,0,2,1,2
2024,      334711301,3347,113,1,1,0,2,1,2
2024,      334711501,3347,115,1,1,0,2,1,2
2024,      334711701,3347,117,1,0,1,2,1,2
2024,      334902301,3349,23,1,1,4,2,1,2
2024,      334903701,3349,37,1,4,0,2,1,2
2024,      334904501,3349,45,1,18,0,2,1,2
2024,      334904601,3349,46,1,1,0,2,1,2
2024,      334904701,3349,47,1,10,0,2,1,1
2024,      334904901,3349,49,1,3,0,2,1,2
2024,      334905001,3349,50,1,2,0,2,1,2
2024,      334905801,3349,58,1,2,0,2,1,2
2024,      335100701,3351,7,1,98,0,2,1,1
2024,      335101201,3351,12,1,3,5,2,1,1
2024,      335101301,3351,13,1,2,0,2,1,1
2024,      335104301,3351,43,1,4,0,2,1,2
