ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7,HVIDX
2024,      325503101,3255,31,1,1,0,2,2,1,3
2024,      325504701,3255,47,1,2, , ,2,1,3
2024,      325505301,3255,53,1,1,5,2,2,1,2
2024,      325509701,3255,97,1,2, , ,2,1,3
2024,      325600601,3256,6,1,1,3,3,2,1,3
2024,      325600801,3256,8,1,1,1,3,2,1,3
2024,      325601301,3256,13,1,1,8,3,1,1,4
2024,      325601301,3256,13,1,1,6,3,1,2,5
2024,      325601301,3256,13,1,1,0,3,2,3,6
2024,      325601701,3256,17,1,1,3,3,2,1,4
2024,      325602801,3256,28,1,1,8,3,1,1,4
2024,      325602801,3256,28,1,1,1,3,2,2,5
2024,      325800101,3258,1,1,1,4,2,2,1,4
2024,      325803301,3258,33,1,1,7,2,2,1,3
2024,      325804201,3258,42,1,1,1,2,2,1,3
2024,      325806001,3258,60,1,1,3,2,2,1,2
2024,      325806401,3258,64,1,1,1,2,2,1,5
2024,      325809301,3258,93,1,1,8,2,1,1,4
2024,      325809301,3258,93,1,1,4,2,2,2,5
2024,      325810301,3258,103,1,1,3,2,2,1,2
2024,      325811601,3258,116,1,1,5,2,2,1,3
2024,      325901901,3259,19,1,1,6,3,1,1,4
2024,      325901901,3259,19,1,1,0,3,2,2,5
2024,      325903201,3259,32,1,1,2,3,2,1,3
2024,      325907401,3259,74,1,1,0,3,2,1,4
2024,      325908501,3259,85,1,1,3,3,2,1,4
2024,      325909101,3259,91,1,1,2,3,2,1,2
2024,      325909201,3259,92,1,1,6,2,2,1,3
2024,      326006001,3260,60,1,1,0,1,2,1,3
2024,      326008701,3260,87,1,1,2,1,1,1,5
2024,      326008701,3260,87,1,1,0,1,2,2,6
2024,      326011901,3260,119,1,1,4,2,2,1,3
2024,      326301501,3263,15,1,8, , ,2,1,4
2024,      326301901,3263,19,1,1,2,0,2,1,2
2024,      326303801,3263,38,1,2, , ,2,1,3
2024,      326308101,3263,81,1,1,6,1,1,1,3
2024,      326308101,3263,81,1,1,0,1,2,2,4
2024,      326410501,3264,105,1,2, , ,1,1,4
2024,      326410501,3264,105,1,2, , ,2,2,5
2024,      326702301,3267,23,1,1,5,1,2,1,4
2024,      326702701,3267,27,1,1,5,2,2,1,3
2024,      326705501,3267,55,1,1,8,2,2,1,3
2024,      326900201,3269,2,1,1,4,3,2,1,3
2024,      326900501,3269,5,1,1,1,3,2,1,3
2024,      326901801,3269,18,1,1,7,3,2,1,3
2024,      326904101,3269,41,1,1,5,3,2,1,4
2024,      326904201,3269,42,1,1,2,3,2,1,4
2024,      326905501,3269,55,1,1,2,3,2,1,3
2024,      327001401,3270,14,1,1,7,0,2,1,4
2024,      327100201,3271,2,1,1,5,2,2,1,4
2024,      327100701,3271,7,1,1,0,2,2,1,5
2024,      327102901,3271,29,1,1,7,2,2,1,2
2024,      327103101,3271,31,1,1,3,2,1,1,5
2024,      327103101,3271,31,1,1,0,2,2,2,6
2024,      327105901,3271,59,1,1,2,2,2,1,4
2024,      327106901,3271,69,1,1,3,2,2,1,4
2024,      327108101,3271,81,1,1,5,2,1,1,3
2024,      327108101,3271,81,1,1,0,2,2,2,4
2024,      327108301,3271,83,1,1,8,2,1,1,3
2024,      327108301,3271,83,1,1,4,2,2,2,4
2024,      327108401,3271,84,1,1,0,2,2,1,3
2024,      327300601,3273,6,1,1,5,2,2,1,3
2024,      327300701,3273,7,1,1,5,2,1,1,4
2024,      327300701,3273,7,1,1,0,2,2,2,5
2024,      327304101,3273,41,1,1,8,2,1,1,2
2024,      327304101,3273,41,1,1,5,2,1,2,3
2024,      327304101,3273,41,1,1,3,2,2,3,4
2024,      327304301,3273,43,1,1,6,2,1,1,3
2024,      327304301,3273,43,1,1,3,2,1,2,4
2024,      327304301,3273,43,1,1,2,2,2,3,5
2024,      327309001,3273,90,1,1,4,2,2,1,3
2024,      327309501,3273,95,1,1,6,2,2,1,4
2024,      327404901,3274,49,1,1,2,3,2,1,3
2024,      327405101,3274,51,1,1,1,3,2,1,3
2024,      327405401,3274,54,1,1,5,3,2,1,4
2024,      327406501,3274,65,1,1,3,5,1,1,3
2024,      327406501,3274,65,1,1,2,5,2,2,4
2024,      327406601,3274,66,1,1,6,3,1,1,3
2024,      327406601,3274,66,1,1,4,3,1,2,4
2024,      327406601,3274,66,1,1,1,3,2,3,5
2024,      327406801,3274,68,1,1,7,3,2,1,4
2024,      327406901,3274,69,1,1,1,3,2,1,3
2024,      327407001,3274,70,1,1,8,3,1,1,3
2024,      327407001,3274,70,1,1,4,3,2,2,4
2024,      327410301,3274,103,1,1,4,3,2,1,4
2024,      327410501,3274,105,1,1,7,3,2,1,3
2024,      327503401,3275,34,1,2, , ,2,1,3
2024,      327506501,3275,65,1,1,1,0,2,1,8
2024,      327507701,3275,77,1,1,5,0,2,1,3
2024,      327508501,3275,85,1,1,2,0,2,1,3
2024,      327513401,3275,134,1,2, , ,2,1,4
2024,      327702601,3277,26,1,2, , ,2,1,3
2024,      327702901,3277,29,1,8, , ,1,1,3
2024,      327702901,3277,29,1,1,3,2,1,2,4
2024,      327702901,3277,29,1,8, , ,2,3,6
2024,      327704001,3277,40,1,2, , ,2,1,6
2024,      327704501,3277,45,1,1,1,2,2,1,5
2024,      327708801,3277,88,1,1,1,2,2,1,5
2024,      327711501,3277,115,1,1,0,1,2,1,3
2024,      327712801,3277,128,1,1,5,1,2,1,3
2024,      327804701,3278,47,1,1,2,2,2,1,4
2024,      327805901,3278,59,1,1,1,3,2,1,4
2024,      327812301,3278,123,1,1,1,4,2,1,6
2024,      327815701,3278,157,1,1,5,4,1,1,5
2024,      327815701,3278,157,1,1,1,4,2,2,8
2024,      327816701,3278,167,1,1,1,2,2,1,6
2024,      327905001,3279,50,1,1,5,3,2,1,5
2024,      327911301,3279,113,1,1,6,4,2,1,6
2024,      327913201,3279,132,1,1,2,4,1,1,3
2024,      327913201,3279,132,1,1,0,4,2,2,4
2024,      328000601,3280,6,1,2, , ,2,1,4
2024,      328004701,3280,47,1,2, , ,2,1,3
2024,      328005101,3280,51,1,1,1,3,2,1,9
2024,      328007101,3280,71,1,1,7,3,2,1,3
2024,      328008801,3280,88,1,2, , ,2,1,3
2024,      328010501,3280,105,1,2, , ,2,1,4
2024,      328102601,3281,26,1,1,0,1,2,1,11
2024,      328105101,3281,51,1,1,1,0,2,1,3
2024,      328107501,3281,75,1,1,5,1,2,1,3
2024,      328110801,3281,108,1,1,3,1,1,1,3
2024,      328110801,3281,108,1,2, , ,2,2,4
2024,      328111201,3281,112,1,1,3,1,1,1,4
2024,      328111201,3281,112,1,1,0,1,2,2,5
2024,      328111401,3281,114,1,1,0,1,2,1,3
2024,      328202401,3282,24,1,2, , ,2,1,2
2024,      328205101,3282,51,1,1,0,1,2,1,3
2024,      328506501,3285,65,1,2, , ,2,1,3
2024,      328900601,3289,6,1,1,6,3,1,1,2
2024,      328900601,3289,6,1,1,3,3,2,2,3
2024,      328909801,3289,98,1,1,4,2,1,1,4
2024,      328909801,3289,98,1,1,0,2,2,2,5
2024,      328909901,3289,99,1,1,0,3,2,1,3
2024,      328910101,3289,101,1,1,2,3,2,1,4
2024,      328910201,3289,102,1,1,4,2,2,1,3
2024,      329000301,3290,3,1,2, , ,2,1,4
2024,      329103601,3291,36,1,1,7,3,2,1,3
2024,      329104601,3291,46,1,1,5,3,2,1,4
2024,      329108801,3291,88,1,1,8,3,2,1,4
2024,      329109601,3291,96,1,1,0,3,2,1,4
2024,      329200701,3292,7,1,1,7,4,1,1,2
2024,      329200701,3292,7,1,1,2,4,2,2,3
2024,      329200801,3292,8,1,1,6,3,1,1,3
2024,      329200801,3292,8,1,1,1,4,2,2,4
2024,      329201701,3292,17,1,1,3,4,2,1,2
2024,      329201901,3292,19,1,1,8,4,2,1,3
2024,      329202201,3292,22,1,1,8,11,1,1,3
2024,      329202201,3292,22,1,1,1,4,2,2,4
2024,      329202801,3292,28,1,1,0,4,2,1,5
2024,      329205301,3292,53,1,1,1,4,1,1,3
2024,      329205301,3292,53,1,1,2,4,2,2,4
2024,      329301501,3293,15,1,1,4,1,2,1,2
2024,      329302401,3293,24,1,1,0,1,2,1,4
2024,      329311001,3293,110,1,1,7,1,1,1,2
2024,      329311001,3293,110,1,1,1,1,2,2,3
2024,      329405901,3294,59,1,1,5,3,1,1,3
2024,      329405901,3294,59,1,1,4,3,1,2,4
2024,      329405901,3294,59,1,1,1,3,2,3,5
2024,      329410701,3294,107,1,1,3,3,2,1,3
2024,      329411401,3294,114,1,1,1,3,2,1,2
2024,      329413401,3294,134,1,1,0,3,2,1,3
2024,      329502301,3295,23,1,1,1,1,2,1,2
2024,      329507001,3295,70,1,1,2,1,2,1,5
2024,      329809001,3298,90,1,1,2,1,2,1,4
2024,      329810701,3298,107,1,1,5,1,1,1,2
2024,      329810701,3298,107,1,1,1,1,2,2,3
2024,      329812501,3298,125,1,1,1,1,2,1,3
2024,      329908601,3299,86,1,1,7,3,1,1,5
2024,      329908601,3299,86,1,1,1,3,2,2,6
2024,      329909601,3299,96,1,1,1,3,2,1,2
2024,      329913901,3299,139,1,1,1,3,2,1,3
2024,      329914301,3299,143,1,1,7,2,2,1,3
2024,      329914401,3299,144,1,1,1,2,2,1,3
2024,      330002201,3300,22,1,1,2,3,2,1,4
2024,      330002701,3300,27,1,1,3,3,2,1,3
2024,      330003501,3300,35,1,1,6,3,2,1,4
2024,      330004101,3300,41,1,1,1,3,2,1,4
2024,      330008301,3300,83,1,1,2,3,2,1,4
2024,      330009601,3300,96,1,1,8,3,1,1,3
2024,      330009601,3300,96,1,1,6,3,1,2,4
2024,      330009601,3300,96,1,1,1,3,2,3,5
2024,      330010401,3300,104,1,2, , ,2,1,3
2024,      330107501,3301,75,1,1,1,1,2,1,4
2024,      330107801,3301,78,1,1,5,1,2,1,6
2024,      330107901,3301,79,1,1,0,1,2,1,4
2024,      330110001,3301,100,1,1,1,1,2,1,3
2024,      330115301,3301,153,1,1,4,1,1,1,3
2024,      330115301,3301,153,1,1,2,1,1,2,4
2024,      330115301,3301,153,1,1,1,1,2,3,5
2024,      330115401,3301,154,1,1,3,1,1,1,3
2024,      330115401,3301,154,1,1,1,1,2,2,4
2024,      330201001,3302,10,1,1,1,3,2,1,3
2024,      330201601,3302,16,1,1,8,3,1,1,3
2024,      330201601,3302,16,1,1,7,3,2,2,4
2024,      330203201,3302,32,1,1,7,3,1,1,2
2024,      330203201,3302,32,1,1,6,3,2,2,3
2024,      330206001,3302,60,1,1,8,3,1,1,4
2024,      330206001,3302,60,1,1,5,3,2,2,5
2024,      330207101,3302,71,1,1,4,3,2,1,3
2024,      330300501,3303,5,1,1,5,3,2,1,6
2024,      330300601,3303,6,1,1,8,3,2,1,3
2024,      330301201,3303,12,1,1,3,3,2,1,3
2024,      330315101,3303,151,1,1,0,3,2,1,5
2024,      330315201,3303,152,1,1,5,3,2,1,3
2024,      330315301,3303,153,1,1,1,3,2,1,4
2024,      330316601,3303,166,1,1,8,3,2,1,3
2024,      330316701,3303,167,1,1,1,3,2,1,3
