ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,PS102_1A,PS102_1M,PS102_1S,PS4,HVIDX
2024,      325701001,3257,10,1,2,0,2,1,3
2024,      325800101,3258,1,1,2,4,2,1,5
2024,      325800601,3258,6,1,1,4,2,1,5
2024,      325804201,3258,42,1,4,4,2,1,3
2024,      325806001,3258,60,1,2,4,2,1,3
2024,      325806401,3258,64,1,3,4,1,1,5
2024,      325806401,3258,64,1,2,4,2,2,6
2024,      325809301,3258,93,1,0,4,2,1,7
2024,      325810301,3258,103,1,0,1,2,1,3
2024,      325901901,3259,19,1,2,6,2,1,5
2024,      325904501,3259,45,1,0,6,2,1,4
2024,      326013901,3260,139,1,1,4,2,1,2
2024,      326100901,3261,9,1,2,2,2,1,3
2024,      326103201,3261,32,1,3,1,1,1,3
2024,      326103201,3261,32,1,1,8,2,2,4
2024,      326105201,3261,52,1,2,0,2,1,5
2024,      326107301,3261,73,1,0,4,1,1,2
2024,      326107301,3261,73,1,4,2,1,2,3
2024,      326107301,3261,73,1,3,2,2,3,4
2024,      326202101,3262,21,1,3,6,2,1,2
2024,      326204401,3262,44,1,0,2,2,1,3
2024,      326208101,3262,81,1,1,0,2,1,3
2024,      326209501,3262,95,1,0,3,2,1,5
2024,      326210401,3262,104,1,3,0,2,1,5
2024,      326301901,3263,19,1,1,0,2,1,3
2024,      326303801,3263,38,1,3,3,2,1,3
2024,      326307001,3263,70,1,0,1,2,1,4
2024,      326402701,3264,27,1,0,5,2,1,3
2024,      326410401,3264,104,1,3,0,2,1,6
2024,      326410501,3264,105,1,2,2,1,1,6
2024,      326410501,3264,105,1,0,2,2,2,7
2024,      326500801,3265,8,1,1,2,2,1,6
2024,      326508901,3265,89,1,6,6,2,1,3
2024,      326509201,3265,92,1,3,1,2,1,6
2024,      326513301,3265,133,1,1,2,2,1,4
2024,      326513601,3265,136,1,1,0,2,1,5
2024,      326601601,3266,16,1,0,6,2,1,3
2024,      326601701,3266,17,1,1,10,2,1,3
2024,      326602001,3266,20,1,0,11,2,1,3
2024,      326614601,3266,146,1,1,4,2,1,3
2024,      326614801,3266,148,1,1,7,2,1,5
2024,      326705501,3267,55,1,3,0,2,1,4
2024,      326802401,3268,24,1,2,0,2,1,8
2024,      326803401,3268,34,1,0,3,2,1,6
2024,      326803901,3268,39,1,1,0,1,1,5
2024,      326803901,3268,39,1,1,0,2,2,6
2024,      326812201,3268,122,1,0,3,2,1,3
2024,      326813301,3268,133,1,2,0,2,1,3
2024,      326900201,3269,2,1,0,10,2,1,4
2024,      326900501,3269,5,1,0,6,2,1,3
2024,      326904201,3269,42,1,0,2,1,1,3
2024,      326904201,3269,42,1,0,2,2,2,4
2024,      327001401,3270,14,1,0,6,2,1,5
2024,      327005501,3270,55,1,0,2,2,1,4
2024,      327100201,3271,2,1,0,6,2,1,5
2024,      327100701,3271,7,1,1,2,2,1,5
2024,      327102601,3271,26,1,2,5,2,1,4
2024,      327102901,3271,29,1,0,4,2,1,3
2024,      327103101,3271,31,1,3,3,2,1,6
2024,      327106901,3271,69,1,2,4,2,1,3
2024,      327108101,3271,81,1,2,5,2,1,4
2024,      327108301,3271,83,1,2,1,2,1,5
2024,      327200501,3272,5,1,1,0,2,1,5
2024,      327205001,3272,50,1,0,11,2,1,3
2024,      327206401,3272,64,1,0,6,1,1,4
2024,      327206401,3272,64,1,0,6,2,2,5
2024,      327207501,3272,75,1,0,3,2,1,5
2024,      327211401,3272,114,1,0,9,2,1,4
2024,      327211701,3272,117,1,0,1,2,1,4
2024,      327300701,3273,7,1,3,0,2,1,5
2024,      327304301,3273,43,1,5,2,2,1,5
2024,      327309101,3273,91,1,1,0,2,1,3
2024,      327404901,3274,49,1,5,5,1,1,3
2024,      327404901,3274,49,1,0,5,2,2,4
2024,      327405101,3274,51,1,4,5,2,1,3
