ID1,HHID,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QHCLUSTER,QHNUMBER,QHHOME
2024,      325503101, ,2,2, , , , , , , , ,2,2,2,2,3255,31,1
2024,      325503901,2,2,2, , , , , , , , ,2,2, ,2,3255,39,1
2024,      325504001, ,2,2, , , , , , , ,1,2,2, ,0,3255,40,1
2024,      325504701, ,2,1,2,1,0,2, , , , ,2,2,2,2,3255,47,1
2024,      325505001, ,2,1,1,1,7,2, , , , ,2,2,2,1,3255,50,1
2024,      325505301, ,2,2, , , , , , , , ,2,2, ,1,3255,53,1
2024,      325508901, ,2,1,2,1,1,2, , , , ,2,2,2,2,3255,89,1
2024,      325509301,2,2,2, , , , , , , , ,2,2, ,1,3255,93,1
2024,      325509701, ,2,2, , , , , , , , ,2,2,2,2,3255,97,1
2024,      325600601, ,2,2, , , , , , , , ,2,2, ,1,3256,6,1
2024,      325600801, ,2,2, , , , , , , , ,2,2,2,2,3256,8,1
2024,      325601301,2,2,2, , , , , , , , ,2,2,2,2,3256,13,1
2024,      325601701, ,2,2, , , , , , , ,2,2,2,2,3,3256,17,1
2024,      325602801,2,2,1,1,12,5,2, , , , ,2,2, ,1,3256,28,1
2024,      325603201, ,2,2, , , , , , , , ,2,2,2,3,3256,32,1
2024,      325605001,2,2,2, , , , , , , , ,2,2,2,1,3256,50,1
2024,      325605601,2, ,2, , , , , , , , ,2,2, ,1,3256,56,1
2024,      325605801, ,2,2, , , , , , , ,2,2,2, ,0,3256,58,1
2024,      325606101, ,2,2, , , , , , , ,1,2,2, ,2,3256,61,1
2024,      325701001,2,2,2, , , , , , , , ,1,2, ,1,3257,10,1
2024,      325702001, ,2,2, , , , , , , , ,2,2, ,1,3257,20,1
2024,      325703401, ,2,2, , , , , , , ,2,2,2, ,0,3257,34,1
2024,      325707001,2,2,2, , , , , , , ,2,2,2, ,0,3257,70,1
2024,      325707401, ,2,2, , , , , , , , ,2,2,2,1,3257,74,1
2024,      325710301,2,2,2, , , , , , , ,2,2,2, ,2,3257,103,1
2024,      325710601, ,2,2, , , , , , , , ,2,2, ,0,3257,106,1
2024,      325710602, ,2,2, , , , , , , , ,2,2,2,2,3257,106,2
2024,      325712401,2,2,2, , , , , , , , ,2,2, ,3,3257,124,1
2024,      325800101, ,2,2, , , , , , , ,1,1,2,2,3,3258,1,1
2024,      325800601, ,2,2, , , , , , , ,2,1,2,2,4,3258,6,1
2024,      325803301, ,2,2, , , , , , , , ,2,2,2,0,3258,33,1
2024,      325804201,2,2,2, , , , , , , , ,1,2, ,2,3258,42,1
2024,      325806001,2,2,2, , , , , , , , ,1,2,2,1,3258,60,1
2024,      325806401,2,2,2, , , , , , , , ,1,2,2,3,3258,64,1
2024,      325809301, ,2,1,1,1,4,2, , , , ,1,2,2,1,3258,93,1
2024,      325810301,2,2,1,1,4,4,2, , , , ,1,2,2,1,3258,103,1
2024,      325811601,2,2,1,2,4,4,2, , , , ,2,2, ,4,3258,116,1
2024,      325901901,2,2,2, , , , , , , , ,1,2,2,2,3259,19,1
2024,      325902701, ,2,2, , , , , , , , ,2,2, ,2,3259,27,1
2024,      325903201, ,2,2, , , , , , , , ,2,2,2,2,3259,32,1
2024,      325904501,2,2,2, , , , , , , , ,1,2,1,3,3259,45,1
2024,      325907401,2,2,2, , , , , , , , ,2,2,2,3,3259,74,1
2024,      325908501,2,2,2, , , , , , , , ,2,2,2,2,3259,85,1
2024,      325909101, ,2,1,1,0,2,2, , , , ,2,1,2,1,3259,91,1
2024,      325909201, ,2,2, , , , , , , , ,2,2,2,1,3259,92,1
2024,      325909701,2,2,2, , , , , , , , ,2,2,2,2,3259,97,1
2024,      326001001, ,2,2, , , , , , , ,1,2,2, ,2,3260,10,1
2024,      326006001,2,2,2, , , , , , , , ,2,2,2,1,3260,60,1
2024,      326007501,2,2,2, , , , , , , , ,2,2,2,2,3260,75,1
2024,      326007801, ,2,2, , , , , , , , ,2,2, ,0,3260,78,1
2024,      326008101,2,2,2, , , , , , , , ,2,2, ,2,3260,81,1
2024,      326008701,2,2,2, , , , , , , , ,2,2,2,3,3260,87,1
2024,      326011901, ,2,2, , , , , , , , ,2,2,1,2,3260,119,1
2024,      326013901,2,2,1,2,2,4,2, , , , ,1,2,2,2,3260,139,1
2024,      326014501, ,2,2, , , , , , , ,1,2,2,2,3,3260,145,1
2024,      326100601, ,2,2, , , , , , , , ,2,2,2,2,3261,6,1
2024,      326100901,2,2,1,1,8,0,2, , , , ,1,2,2,1,3261,9,1
2024,      326101001, ,2,2, , , , , , , ,2,2,1, ,0,3261,10,1
2024,      326102201, ,2,2, , , , , , , , ,2,2,2,1,3261,22,1
2024,      326103201, ,2,1,2,8,0,2, , , , ,1,2,2,2,3261,32,1
2024,      326103301, ,2,2, , , , , , , , ,2,2, ,2,3261,33,1
2024,      326103401, ,2,2, , , , , , , , ,2,2,2,1,3261,34,1
2024,      326105201, ,2,2, , , , , , , , ,1,2,2,2,3261,52,1
2024,      326107301, ,2,1,2,1,0,2, , , , ,1,2,2,2,3261,73,1
2024,      326202101, ,2,1,1,4,0,2, , , , ,1,2,2,1,3262,21,1
